canary_decision_order,planned_decision_id,decision_order,decision_class,simulation_unit_id,background_realization_id,external_optimizer_seed,payload_logical_sha256,input_state,execution_status
41,F3B2D002093,2093,BASELINE,F3BBG_N060_A0_Q004_R094:NULL:PRIMARY,F3BBG_N060_A0_Q004_R094,0,8b0802c09a1e8d119511cd090fad2aaa45785a98207c3bbd13bdd081992e9991,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
42,F3B2D002094,2094,BASELINE,F3BBG_N060_A0_Q004_R094:POS:PRIMARY,F3BBG_N060_A0_Q004_R094,0,42e142479dd6d4402e6a9671d8554ab00377ddddeb2cd9a25138a85236d358c4,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
43,F3B2D002165,2165,BASELINE,F3BBG_N060_A1_Q001_R062:NULL:PRIMARY,F3BBG_N060_A1_Q001_R062,0,41e344a54660a241206c1c5908b6cc3ce7364c27cf589be631a9b9051d0e3167,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
44,F3B2D002166,2166,BASELINE,F3BBG_N060_A1_Q001_R062:POS:PRIMARY,F3BBG_N060_A1_Q001_R062,0,7aa47c9eb397616ad532b4e100249ed4e18526e8e04a6560187643acb1227f7c,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
45,F3B2D002265,2265,BASELINE,F3BBG_N060_A1_Q002_R062:NULL:PRIMARY,F3BBG_N060_A1_Q002_R062,0,8ae56b344fe99f387acf1bd335b593dd9bb959c3ab40356e96b5adff447fbb0a,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
46,F3B2D002266,2266,BASELINE,F3BBG_N060_A1_Q002_R062:POS:PRIMARY,F3BBG_N060_A1_Q002_R062,0,e5b64181888135e9e09465b24974a3eb623b21e2c92234cfcc8832f5a6d3d650,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
47,F3B2D002355,2355,BASELINE,F3BBG_N060_A1_Q004_R055:NULL:PRIMARY,F3BBG_N060_A1_Q004_R055,0,43543178bcea9c872b484f13ee25cea33f697428967505c00ebc2b9c5580920e,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
48,F3B2D002356,2356,BASELINE,F3BBG_N060_A1_Q004_R055:POS:PRIMARY,F3BBG_N060_A1_Q004_R055,0,c5d9fc9b94ccfefae8c6ea4e9601ace517ef756b64ae374c19347474c2f41049,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
49,F3B2D002421,2421,BASELINE,F3BBG_N060_A2_Q001_R022:NULL:PRIMARY,F3BBG_N060_A2_Q001_R022,0,21a45f91a3719574dcb7dc63ec9a0abd17161d97b7cdaa058cdf5b1b89773b1d,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
50,F3B2D002422,2422,BASELINE,F3BBG_N060_A2_Q001_R022:POS:PRIMARY,F3BBG_N060_A2_Q001_R022,0,00ba165dab59bfebbdae81ab3ed784567ee8cefb21568479004da825fde7c6a6,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
51,F3B2D002599,2599,BASELINE,F3BBG_N060_A2_Q002_R100:NULL:PRIMARY,F3BBG_N060_A2_Q002_R100,0,a9c5008159ad60ac79dde340ee5bb8acfa08f447a12cb8e6692c868b4c33c2b4,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
52,F3B2D002600,2600,BASELINE,F3BBG_N060_A2_Q002_R100:POS:PRIMARY,F3BBG_N060_A2_Q002_R100,0,72172269c00909466b42f326113589925a5781fd2a2e490933c9df6516e28efd,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
53,F3B2D002605,2605,BASELINE,F3BBG_N060_A2_Q004_R005:NULL:PRIMARY,F3BBG_N060_A2_Q004_R005,0,018f7ab9f5cfced8c197e4839d769eb03f70777bc33ebfcd6af652905606541e,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
54,F3B2D002606,2606,BASELINE,F3BBG_N060_A2_Q004_R005:POS:PRIMARY,F3BBG_N060_A2_Q004_R005,0,54269399ad4469b7a74dfb69a22350507a66db3df1b353f9f6ee2cae8e6332ad,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
