replicate_index,strata_count,sampled_background_draws,positive_denominator,null_denominator,draw_indices_sha256,baseline_TP,baseline_FN,baseline_TN,baseline_FP,candidate_TP,candidate_FN,candidate_TN,candidate_FP,baseline_sensitivity,candidate_sensitivity,candidate_minus_baseline_sensitivity,baseline_specificity,candidate_specificity,candidate_minus_baseline_specificity,baseline_FPR,candidate_FPR,candidate_minus_baseline_FPR,baseline_balanced_accuracy,candidate_balanced_accuracy,candidate_minus_baseline_balanced_accuracy
22,36,1800,1800,1800,1ad45493da4c2e91b08366ff66cd07acd40e69cef66303ba8c847c2963b4af37,147,1653,1797,3,1185,615,1107,693,0.08166666666666667,0.6583333333333333,0.5766666666666667,0.9983333333333333,0.615,-0.3833333333333333,0.0016666666666666668,0.385,0.38333333333333336,0.54,0.6366666666666667,0.09666666666666668
23,36,1800,1800,1800,8691f1c523ad8bed89d723715e414363145e8dd29e9520ca60570fd1ec85ba0c,132,1668,1799,1,1185,615,1101,699,0.07333333333333333,0.6583333333333333,0.585,0.9994444444444445,0.6116666666666667,-0.3877777777777778,0.0005555555555555556,0.3883333333333333,0.3877777777777778,0.5363888888888889,0.635,0.0986111111111111
24,36,1800,1800,1800,680caa32b2c15cc502d83c4df4adf75335f3fc7121acda33e8c5fbc5934c5016,154,1646,1799,1,1185,615,1110,690,0.08555555555555555,0.6583333333333333,0.5727777777777778,0.9994444444444445,0.6166666666666667,-0.3827777777777778,0.0005555555555555556,0.38333333333333336,0.38277777777777783,0.5425,0.6375,0.09499999999999997
25,36,1800,1800,1800,d449d5284a550b0d4fa83bb893def337282399f2b6b7721a3d3d003c95c2c46c,139,1661,1799,1,1184,616,1103,697,0.07722222222222222,0.6577777777777778,0.5805555555555556,0.9994444444444445,0.6127777777777778,-0.3866666666666667,0.0005555555555555556,0.38722222222222225,0.3866666666666667,0.5383333333333333,0.6352777777777778,0.0969444444444445
26,36,1800,1800,1800,4f48857653445358017928eb020792179777703cbf229defa6c2c93241dc094b,145,1655,1799,1,1151,649,1134,666,0.08055555555555556,0.6394444444444445,0.5588888888888889,0.9994444444444445,0.63,-0.36944444444444446,0.0005555555555555556,0.37,0.36944444444444446,0.54,0.6347222222222222,0.09472222222222215
27,36,1800,1800,1800,72fcdf4513d29711350ef571567b52eb25a31dbfcb0372f54984476337a5be5b,146,1654,1797,3,1163,637,1107,693,0.0811111111111111,0.6461111111111111,0.565,0.9983333333333333,0.615,-0.3833333333333333,0.0016666666666666668,0.385,0.38333333333333336,0.5397222222222222,0.6305555555555555,0.09083333333333332
28,36,1800,1800,1800,8561e6443cbabc2721936c8e0bcba4dae9397c5b4e3c52192ec1ec5324464be2,143,1657,1800,0,1169,631,1102,698,0.07944444444444444,0.6494444444444445,0.5700000000000001,1.0,0.6122222222222222,-0.3877777777777778,0.0,0.3877777777777778,0.3877777777777778,0.5397222222222222,0.6308333333333334,0.09111111111111114
29,36,1800,1800,1800,7d35db9053214937bf1116a19dc3c3157b6dde10f227ab5e8bafb52c3fefd731,139,1661,1799,1,1194,606,1104,696,0.07722222222222222,0.6633333333333333,0.5861111111111111,0.9994444444444445,0.6133333333333333,-0.3861111111111112,0.0005555555555555556,0.38666666666666666,0.3861111111111111,0.5383333333333333,0.6383333333333333,0.09999999999999998
30,36,1800,1800,1800,ffe3d4e00de9667f35efc2f19c73dc094d89bef7261e1e61adc52fe205064bc8,140,1660,1799,1,1182,618,1108,692,0.07777777777777778,0.6566666666666666,0.5788888888888888,0.9994444444444445,0.6155555555555555,-0.38388888888888895,0.0005555555555555556,0.3844444444444444,0.3838888888888889,0.5386111111111112,0.6361111111111111,0.09749999999999992
31,36,1800,1800,1800,1df5b20263fe4fc803492b247f004c25e47384aef09863c4ecb0036bd3e53fef,148,1652,1799,1,1142,658,1124,676,0.08222222222222222,0.6344444444444445,0.5522222222222223,0.9994444444444445,0.6244444444444445,-0.375,0.0005555555555555556,0.37555555555555553,0.375,0.5408333333333334,0.6294444444444445,0.08861111111111108
