planned_decision_id,decision_order,decision_class,simulation_unit_id,external_optimizer_seed,payload_logical_sha256,n_samples,mean_dt_external_s,median_dt_external_s,afino_dt_m0_s,afino_dt_m1_s,afino_dt_m2_s,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,mean_dt_contract_match,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_positive_bin_count_m0,afino_positive_bin_count_m1,afino_positive_bin_count_m2,positive_fftfreq_match_m0,positive_fftfreq_match_m1,positive_fftfreq_match_m2,positive_fftfreq_contract_match,legacy_rfftfreq_match_m0,legacy_rfftfreq_match_m1,legacy_rfftfreq_match_m2
F3B5_HO_D0063,63,BASELINE,F3BBG_N015_A0_Q001_R058:NULL:PRIMARY,0,335f6b5dd7a3e14c9dd2d1ca4197844931fcaae5af9d176f83b76b702fd02ca1,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0064,64,BASELINE,F3BBG_N015_A0_Q001_R058:POS:PRIMARY,0,5285adc4939bb5bf33c006d48a94dde85765f19d3147a041f1528338c789b8c7,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0065,65,BASELINE,F3BBG_N015_A0_Q001_R060:NULL:PRIMARY,0,7d5fe1c33043ee0514c7b551007b26c6cd5b72cc4076eab24c7df67e3f6ab71b,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0066,66,BASELINE,F3BBG_N015_A0_Q001_R060:POS:PRIMARY,0,025602f247e2188c5b3964cac8ad7f8338e9ad498ae07a694ce8e044a44a9b98,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0067,67,BASELINE,F3BBG_N015_A0_Q001_R061:NULL:PRIMARY,0,229285b01b547ac373e560bf28a8148e04cf622972016e2c6fa396bda4594c92,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0068,68,BASELINE,F3BBG_N015_A0_Q001_R061:POS:PRIMARY,0,1951f7ea3e2b5756061fe0b20abba3ae42e970bd65dbb4882ae574b1ed6d1e4b,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0069,69,BASELINE,F3BBG_N015_A0_Q001_R064:NULL:PRIMARY,0,f4c697ef605a67138c9e9ae0a875fce52a7ca735de81c7ad47ee219a5320b14d,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0070,70,BASELINE,F3BBG_N015_A0_Q001_R064:POS:PRIMARY,0,cf3e9b6c9fe0b8e946518e7461dd5c3ac70800345a7f81c9e23e9c69e5d68f77,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0071,71,BASELINE,F3BBG_N015_A0_Q001_R066:NULL:PRIMARY,0,1c13c6797680156b6763bb8c876e6e9c44779ff7edcba107209707b5e436f40a,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0072,72,BASELINE,F3BBG_N015_A0_Q001_R066:POS:PRIMARY,0,8fadc755457a3c694458e704b11ffc2d5cb264bd125878b1f861e14e6a43b6f7,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0073,73,BASELINE,F3BBG_N015_A0_Q001_R068:NULL:PRIMARY,0,4ab23a3290dab227a9a7c4f9432202642434bfac7bd0744193adc72edd579cce,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0074,74,BASELINE,F3BBG_N015_A0_Q001_R068:POS:PRIMARY,0,cab55d5e350349442a060cbc036efceb24c200c8058754a4c0093a636cfd8e82,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0075,75,BASELINE,F3BBG_N015_A0_Q001_R069:NULL:PRIMARY,0,0005d6aea37775b34b771fa181e5afed9158c869e9d9bba606072dc9be20aa05,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0076,76,BASELINE,F3BBG_N015_A0_Q001_R069:POS:PRIMARY,0,e9465b2e0e176efe6b19ecfe30c426a732f105225cefb64699821c0eb17415c8,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0077,77,BASELINE,F3BBG_N015_A0_Q001_R075:NULL:PRIMARY,0,eb6508d01b0d2e6c1aaf7ed0546de9f50b5db9ddf27e84b7ce4c8655d44563f6,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0078,78,BASELINE,F3BBG_N015_A0_Q001_R075:POS:PRIMARY,0,5cebc2a9174b3ca1d5bbb8f15905dce15849dca726b3a69b50b2d21574031000,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0079,79,BASELINE,F3BBG_N015_A0_Q001_R078:NULL:PRIMARY,0,4971a6b59e5f00509a23cf85eed77416f74245676bae87fe11e3f78ef4ea0570,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
